ID;date;month;site;bloc;coupe;exclos;analogue;trap;genus;species
car001;23-mai;mai;ACTSEA3;A;totale;sans;3;fosse;pterostichus;mutus
car002;23-mai;mai;ACTSEA3;A;totale;sans;3;fosse;pterostichus;mutus
car003;23-mai;mai;CCPAEA2;C;partielle;avec;2;fosse;sphaeroderus;canadensis
car004;23-mai;mai;CCPAEA2;C;partielle;avec;2;fosse;sphaeroderus;canadensis
car005;23-mai;mai;CCTAEA3;C;totale;avec;3;fosse;pterostichus;adstrictus
car006;23-mai;mai;CCTSEA1;C;totale;sans;1;fosse;agonum;affine
car007;23-mai;mai;CCTSEA2;C;totale;sans;2;fosse;pterostichus;coracinus
car008;24-mai;mai;ACPAEA1;A;partielle;avec;1;planche;platynus;decentis
car009;24-mai;mai;ACTSEA3;A;totale;sans;3;planche;pterostichus;mutus
car010;24-mai;mai;AT2;A;temoin;sans;2;fosse;pterostichus;adstrictus
car011;24-mai;mai;AT3;A;temoin;sans;3;planche;pterostichus;coracinus
car012;24-mai;mai;BT2;B;temoin;sans;2;fosse;pterostichus;tristis
car013;24-mai;mai;CCPAEA1;C;partielle;avec;1;planche;pterostichus;pensylvanicus
car014;24-mai;mai;CCPAEA1;C;partielle;avec;1;planche;pterostichus;adstrictus
car015;24-mai;mai;CCPSEA2;C;partielle;sans;2;planche;agonum;affine
car016;24-mai;mai;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car017;24-mai;mai;CCTSEA1;C;totale;sans;1;planche;agonum;punctiforme
car018;24-mai;mai;CCTSEA1;C;totale;sans;1;planche;agonum;punctiforme
car019;24-mai;mai;CCTSEA2;C;totale;sans;2;fosse;pterostichus;coracinus
car020;24-mai;mai;CT2;C;temoin;sans;2;fosse;pterostichus;diligendus
car021;24-mai;mai;CT3;C;temoin;sans;3;fosse;platynus;decentis
car022;24-mai;mai;DCPAEA2;D;partielle;avec;2;fosse;pterostichus;adstrictus
car023;24-mai;mai;DCPSEA2;D;partielle;sans;2;fosse;pterostichus;pensylvanicus
car024;24-mai;mai;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car025;24-mai;mai;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car026;24-mai;mai;DT1;D;temoin;sans;1;planche;pterostichus;pensylvanicus
car027;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;synuchus;impunctatus
car028;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;agonum;retractum
car029;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;pterostichus;mutus
car030;17-juin;juin;ACTSEA2;A;totale;sans;2;planche;pterostichus;mutus
car031;17-juin;juin;ACTSEA2;A;totale;sans;2;fosse;patrobus;longicornis
car032;17-juin;juin;ACTSEA3;A;totale;sans;3;planche;pterostichus;mutus
car033;17-juin;juin;AT2;A;temoin;sans;2;planche;pterostichus;pensylvanicus
car034;17-juin;juin;BCPAEA1;B;partielle;avec;1;planche;notiobia;terminata
car035;17-juin;juin;BCPAEA1;B;partielle;avec;1;planche;pterostichus;pensylvanicus
car036;17-juin;juin;BCPAEA2;B;partielle;avec;2;planche;sphaeroderus;canadensis
car037;17-juin;juin;BCPAEA2;B;partielle;avec;2;planche;agonum;affine
car038;17-juin;juin;BCPAEA3;B;partielle;avec;3;planche;agonum;affine
car039;17-juin;juin;BCTSEA2;B;totale;sans;2;planche;pterostichus;pensylvanicus
car040;17-juin;juin;BCTSEA3;B;totale;sans;3;planche;chlaenius;sericeus
car041;17-juin;juin;BT1;B;temoin;sans;1;planche;pterostichus;pensylvanicus
car042;17-juin;juin;CCPAEA2;C;partielle;avec;2;planche;pterostichus;tristis
car043;17-juin;juin;CCPSEA1;C;partielle;sans;1;planche;pterostichus;tristis
car044;17-juin;juin;CCPSEA2;C;partielle;sans;2;planche;pterostichus;tristis
car045;17-juin;juin;CCPSEA3;C;partielle;sans;3;fosse;pterostichus;tristis
car046;17-juin;juin;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car047;17-juin;juin;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car048;17-juin;juin;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car049;17-juin;juin;CCTAEA3;C;totale;avec;3;planche;pterostichus;mutus
car050;17-juin;juin;CCTAEA3;C;totale;avec;3;planche;pterostichus;adstrictus
car051;17-juin;juin;CCTAEA3;C;totale;avec;3;planche;pterostichus;adstrictus
car052;17-juin;juin;CCTAEA3;C;totale;avec;3;planche;pterostichus;pensylvanicus
car053;17-juin;juin;CCTSEA1;C;totale;sans;1;fosse;agonum;affine
car054;17-juin;juin;CCTSEA1;C;totale;sans;1;planche;notiobia;terminata
car055;17-juin;juin;CCTSEA1;C;totale;sans;1;planche;agonum;affine
car056;17-juin;juin;CCTSEA2;C;totale;sans;2;planche;pterostichus;pensylvanicus
car057;17-juin;juin;CCTSEA3;C;totale;sans;3;planche;bradycellus;lugubris
car058;17-juin;juin;DCPAEA3;D;partielle;avec;3;planche;pterostichus;pensylvanicus
car059;17-juin;juin;DCPSEA2;D;partielle;sans;2;fosse;pterostichus;coracinus
car060;17-juin;juin;DCPSEA3;D;partielle;sans;3;planche;pterostichus;pensylvanicus
car061;17-juin;juin;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car062;17-juin;juin;DCTAEA1;D;totale;avec;1;planche;pterostichus;adstrictus
car063;17-juin;juin;DCTAEA2;D;totale;avec;2;planche;pterostichus;adstrictus
car064;17-juin;juin;DCTAEA2;D;totale;avec;2;planche;pterostichus;adstrictus
car065;17-juin;juin;DCTSEA2;D;totale;sans;2;planche;poecilus;lucublandus
car066;17-juin;juin;DCTSEA2;D;totale;sans;2;planche;synuchus;impunctatus
car067;17-juin;juin;DCTSEA3;D;totale;sans;3;planche;pterostichus;coracinus
car068;17-juin;juin;DCTSEA3;D;totale;sans;3;planche;pterostichus;coracinus
car069;17-juin;juin;DT2;D;temoin;sans;2;planche;pterostichus;punctatissimus
car070;19-juin;juin;ACPSEA3;A;partielle;sans;3;fosse;pterostichus;coracinus
car071;19-juin;juin;DT2;D;temoin;sans;2;fosse;sphaeroderus;canadensis
car072;19-juin;juin;DT3;D;temoin;sans;3;planche;pterostichus;adstrictus
car073;20-juin;juin;AT3;A;temoin;sans;3;fosse;sphaeroderus;nitidicollis
car074;20-juin;juin;BCPSEA1;B;partielle;sans;1;fosse;pterostichus;adstrictus
car075;20-juin;juin;CT2;C;temoin;sans;2;fosse;pterostichus;coracinus
car076;20-juin;juin;DCTAEA3;D;totale;avec;3;fosse;pterostichus;coracinus
car077;20-juin;juin;DCTAEA3;D;totale;avec;3;fosse;pterostichus;pensylvanicus
car078;20-juin;juin;DT2;D;temoin;sans;2;fosse;pterostichus;coracinus
car079;12-juill;juillet;CT1;C;temoin;sans;1;fosse;pterostichus;tristis
car080;12-juill;juillet;CT2;C;temoin;sans;2;fosse;pterostichus;tristis
car081;12-juill;juillet;DCPAEA2;D;partielle;avec;2;fosse;pterostichus;coracinus
car082;13-juill;juillet;BCTSEA2;B;totale;sans;2;fosse;chlaenius;sericeus
car083;13-juill;juillet;CT2;C;temoin;sans;2;fosse;pterostichus;coracinus
car084;13-juill;juillet;CT2;C;temoin;sans;2;fosse;pterostichus;tristis
car085;13-juill;juillet;DCTAEA1;D;totale;avec;1;fosse;synuchus;impunctatus
car086;13-juill;juillet;DCTSEA3;D;totale;sans;3;fosse;pterostichus;coracinus
car087;14-juill;juillet;ACPSEA1;A;partielle;sans;1;planche;sphaeroderus;canadensis
car088;14-juill;juillet;ACPSEA2;A;partielle;sans;2;planche;agonum;palustre
car089;14-juill;juillet;ACPSEA3;A;partielle;sans;3;planche;pterostichus;pensylvanicus
car090;14-juill;juillet;ACPSEA3;A;partielle;sans;3;planche;pterostichus;pensylvanicus
car091;14-juill;juillet;ACPSEA3;A;partielle;sans;3;planche;agonum;retractum
car092;14-juill;juillet;ACTAEA1;A;totale;avec;1;planche;pterostichus;pensylvanicus
car093;14-juill;juillet;ACTAEA1;A;totale;avec;1;planche;synuchus;impunctatus
car094;14-juill;juillet;ACTSEA2;A;totale;sans;2;planche;pterostichus;diligendus
car095;14-juill;juillet;AT1;A;temoin;sans;1;planche;pterostichus;pensylvanicus
car096;14-juill;juillet;AT1;A;temoin;sans;1;planche;synuchus;impunctatus
car097;14-juill;juillet;BCPAEA1;B;partielle;avec;1;planche;synuchus;impunctatus
car098;14-juill;juillet;BCPSEA2;B;partielle;sans;2;planche;pterostichus;tristis
car099;14-juill;juillet;BCTAEA1;B;totale;avec;1;planche;poecilus;lucublandus
car100;14-juill;juillet;BCTAEA1;B;totale;avec;1;planche;notiobia;terminata
car101;14-juill;juillet;BCTAEA2;B;totale;avec;2;planche;pseudamara;arenaria
car102;14-juill;juillet;BCTAEA2;B;totale;avec;2;planche;pseudamara;arenaria
car103;14-juill;juillet;BCTAEA3;B;totale;avec;3;planche;pterostichus;adstrictus
car104;14-juill;juillet;BCTAEA3;B;totale;avec;3;planche;pterostichus;pensylvanicus
car105;14-juill;juillet;BCTSEA2;B;totale;sans;2;planche;pterostichus;commutabilis
car106;14-juill;juillet;BCTSEA2;B;totale;sans;2;planche;bradycellus;semipubescens
car107;14-juill;juillet;BCTSEA3;B;totale;sans;3;planche;synuchus;impunctatus
car108;14-juill;juillet;BT1;B;temoin;sans;1;planche;pterostichus;tristis
car109;14-juill;juillet;CCPAEA2;C;partielle;avec;2;planche;pterostichus;tristis
car110;14-juill;juillet;CCPSEA2;C;partielle;sans;2;planche;trechus;apicalis
car111;14-juill;juillet;CCPSEA3;C;partielle;sans;3;planche;pterostichus;tristis
car112;14-juill;juillet;CCTAEA1;C;totale;avec;1;planche;synuchus;impunctatus
car113;14-juill;juillet;CCTAEA1;C;totale;avec;1;planche;agonum;palustre
car114;14-juill;juillet;CCTAEA2;C;totale;avec;2;planche;pterostichus;adstrictus
car115;14-juill;juillet;CCTAEA2;C;totale;avec;2;planche;pterostichus;coracinus
car116;14-juill;juillet;CCTAEA2;C;totale;avec;2;planche;pterostichus;coracinus
car117;14-juill;juillet;CCTAEA2;C;totale;avec;2;planche;pseudamara;arenaria
car118;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;pseudamara;arenaria
car119;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;pseudamara;arenaria
car120;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;harpalus;providens
car121;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;harpalus;erythropus
car122;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;pterostichus;adstrictus
car123;14-juill;juillet;CCTAEA3;C;totale;avec;3;planche;pterostichus;mutus
car124;14-juill;juillet;CCTSEA1;C;totale;sans;1;planche;pterostichus;coracinus
car125;14-juill;juillet;CCTSEA2;C;totale;sans;2;planche;notiobia;terminata
car126;14-juill;juillet;CCTSEA2;C;totale;sans;2;planche;pterostichus;coracinus
car127;14-juill;juillet;CCTSEA2;C;totale;sans;2;planche;agonum;affine
car128;14-juill;juillet;CCTSEA2;C;totale;sans;2;planche;synuchus;impunctatus
car129;14-juill;juillet;CCTSEA2;C;totale;sans;2;planche;notiobia;terminata
car130;14-juill;juillet;CCTSEA3;C;totale;sans;3;planche;poecilus;lucublandus
car131;14-juill;juillet;CCTSEA3;C;totale;sans;3;planche;pterostichus;coracinus
car132;14-juill;juillet;CT2;C;temoin;sans;2;planche;agonum;retractum
car133;14-juill;juillet;CT2;C;temoin;sans;2;planche;pterostichus;tristis
car134;14-juill;juillet;CT2;C;temoin;sans;2;planche;pterostichus;tristis
car135;14-juill;juillet;CT3;C;temoin;sans;3;planche;pterostichus;tristis
car136;14-juill;juillet;CT3;C;temoin;sans;3;fosse;pterostichus;coracinus
car137;14-juill;juillet;DCPAEA3;D;partielle;avec;3;planche;pterostichus;pensylvanicus
car138;14-juill;juillet;DCPSEA2;D;partielle;sans;2;planche;pterostichus;diligendus
car139;14-juill;juillet;DCPSEA3;D;partielle;sans;3;fosse;synuchus;impunctatus
car140;14-juill;juillet;DCTAEA1;D;totale;sans;1;fosse;synuchus;impunctatus
car141;14-juill;juillet;DCTAEA1;D;totale;sans;1;fosse;synuchus;impunctatus
car142;14-juill;juillet;DCTAEA1;D;totale;avec;1;planche;agonum;palustre
car143;14-juill;juillet;DCTAEA1;D;totale;avec;1;planche;synuchus;impunctatus
car144;14-juill;juillet;DCTAEA1;D;totale;avec;1;planche;pseudamara;arenaria
car145;14-juill;juillet;DCTAEA3;D;totale;avec;3;planche;pterostichus;tristis
car146;14-juill;juillet;DCTSEA2;D;totale;sans;2;planche;synuchus;impunctatus
car147;14-juill;juillet;DCTSEA3;D;totale;sans;3;planche;pterostichus;adstrictus
car148;14-juill;juillet;DCTSEA3;D;totale;sans;3;planche;pterostichus;adstrictus
car149;14-juill;juillet;DT3;D;temoin;sans;3;planche;pterostichus;tristis
car150;14-juill;juillet;DT3;D;temoin;sans;3;fosse;sphaeroderus;canadensis
car151;15-juill;juillet;ACTSEA3;A;totale;sans;3;fosse;pterostichus;mutus
car152;15-juill;juillet;ACTSEA3;A;totale;sans;3;fosse;synuchus;impunctatus
car153;15-juill;juillet;ACTSEA3;A;totale;sans;3;fosse;synuchus;impunctatus
car154;15-juill;juillet;AT2;A;temoin;sans;2;fosse;synuchus;impunctatus
car155;15-juill;juillet;CCTSEA1;C;totale;sans;1;fosse;pseudamara;arenaria
car156;15-juill;juillet;DCPAEA3;D;partielle;avec;3;fosse;pterostichus;tristis
car157;15-juill;juillet;DCPSEA2;D;partielle;sans;2;fosse;pterostichus;coracinus
car158;15-juill;juillet;DT2;D;temoin;sans;2;fosse;synuchus;impunctatus
car159;16-août;aout;AT1;A;temoin;sans;1;fosse;pterostichus;adstrictus
car160;16-août;aout;BT2;B;temoin;sans;2;fosse;pterostichus;tristis
car161;17-août;aout;ACPAEA1;A;partielle;avec;1;planche;pterostichus;coracinus
car162;17-août;aout;ACPSEA3;A;partielle;sans;3;fosse;pterostichus;coracinus
car163;17-août;aout;ACPSEA3;A;partielle;sans;3;planche;pterostichus;coracinus
car164;17-août;aout;ACPSEA3;A;partielle;sans;3;planche;pterostichus;adstrictus
car165;17-août;aout;ACTAEA1;A;totale;avec;1;planche;loricera;pilicornis
car166;17-août;aout;AT1;A;temoin;sans;1;planche;pterostichus;coracinus
car167;17-août;aout;AT3;A;temoin;sans;3;fosse;synuchus;impunctatus
car168;17-août;aout;BCPAEA3;B;partielle;avec;3;planche;pterostichus;mutus
car169;17-août;aout;BCPAEA3;B;partielle;avec;3;planche;agonum;affine
car170;17-août;aout;BCTSEA2;B;totale;sans;2;planche;pterostichus;adstrictus
car171;17-août;aout;BCTSEA3;B;totale;sans;3;planche;pterostichus;coracinus
car172;17-août;aout;BCTSEA3;B;totale;sans;3;planche;harpalus;rufipes
car173;17-août;aout;CCPSEA1;C;partielle;sans;1;planche;pterostichus;tristis
car174;17-août;aout;CCPSEA3;C;partielle;sans;3;planche;pterostichus;tristis
car175;17-août;aout;CCPSEA3;C;partielle;sans;3;planche;pterostichus;coracinus
car176;17-août;aout;CCTAEA1;C;totale;avec;1;planche;pterostichus;coracinus
car177;17-août;aout;CCTAEA1;C;totale;avec;1;planche;pterostichus;adstrictus
car178;17-août;aout;CCTAEA2;C;totale;avec;2;planche;pterostichus;coracinus
car179;17-août;aout;CCTSEA2;C;totale;sans;2;planche;harpalus;faunus
car180;17-août;aout;CCTSEA2;C;totale;sans;2;planche;calathus;gregarius
car181;17-août;aout;DCPAEA1;D;partielle;avec;1;planche;pterostichus;tristis
car182;17-août;aout;DCPSEA3;D;partielle;sans;3;planche;synuchus;impunctatus
car183;17-août;aout;DCTAEA1;D;totale;sans;1;planche;pterostichus;coracinus
car184;17-août;aout;DCTAEA1;D;totale;sans;1;planche;pterostichus;coracinus
car185;17-août;aout;DCTAEA2;D;totale;avec;2;planche;pterostichus;coracinus
car186;17-août;aout;DCTAEA3;D;totale;avec;3;planche;pterostichus;tristis
car187;17-août;aout;DCTSEA2;D;totale;sans;2;planche;pterostichus;tristis
car188;17-août;aout;DT2;D;temoin;sans;2;planche;pterostichus;tristis
car189;18-août;aout;DCTSEA1;D;totale;sans;1;fosse;pterostichus;coracinus