ID_site;Bloc;Coupe;Exclos;Analogue;Mesure 1;Mesure 2;Mesure 3;Mesure 4;Mesure 5;Mesure 6;Moyenne
ACTAEA1;A;totale;avec;1;0;0,5;2,5;2;1;0,5;1,1
ACTAEA2;A;totale;avec;2;0;0,5;1;0,5;0,5;1,5;0,7
ACTAEA3;A;totale;avec;3;0;0,5;1;0,5;0,5;1;0,6
ACTSEA1;A;totale;sans;1;0;0;1;0;0,5;2;0,6
ACTSEA2;A;totale;sans;2;0,5;0;1,2;2;0;0,5;0,7
ACTSEA3;A;totale;sans;3;0,5;0,5;1;0,5;0,5;0;0,5
ACPAEA1;A;partielle;avec;1;1,5;4;3;2;1,5;1;2,2
ACPAEA2;A;partielle;avec;2;1;2;1;0,5;1;7,8;2,2
ACPAEA3;A;partielle;avec;3;1;3,7;5,3;4,3;1,5;3,6;3,2
ACPSEA1;A;partielle;sans;1;4;5;2;5,2;7,5;3,2;4,5
ACPSEA2;A;partielle;sans;2;3,5;3,8;3,3;3,5;3,5;1,5;3,2
ACPSEA3;A;partielle;sans;3;2,5;4,4;8;3;1;4;3,8
AT1;A;temoin;temoin;temoin;1,5;1,5;3,7;3,7;2,2;1;2,3
AT2;A;temoin;temoin;temoin;6,3;5;5,9;6,2;5,5;5,4;5,7
AT3;A;temoin;temoin;temoin;5,8;5;6;4,5;6,1;3,5;5,2
BCTAEA1;B;totale;avec;1;0;0;0;2,8;2,1;3,1;1,3
BCTAEA2;B;totale;avec;2;1,8;1,5;0;2,1;0;0;0,9
BCTAEA3;B;totale;avec;3;3,1;0;0;1,7;2,2;1,6;1,4
BCTSEA1;B;totale;sans;1;3,3;2,8;1,5;3,8;0;2,2;2,3
BCTSEA2;B;totale;sans;2;0;0;0,7;3;0,5;4,6;1,5
BCTSEA3;B;totale;sans;3;4,5;0,5;0;9,9;4,4;0;3,2
BCPAEA1;B;partielle;avec;1;3,9;3,8;5,5;4,4;7,1;2,7;4,6
BCPAEA2;B;partielle;avec;2;3,4;4,4;6;9,5;5,6;6,9;6
BCPAEA3;B;partielle;avec;3;6,6;4;4,7;4,6;8,1;4;5,3
BCPSEA1;B;partielle;sans;1;2,7;3,4;3,7;3,9;5,1;1,8;3,4
BCPSEA2;B;partielle;sans;2;6,4;8,1;10,2;7,8;7;5,2;7,5
BCPSEA3;B;partielle;sans;3;4,6;4,7;4,9;2,9;3,9;5,8;4,5
BT1;B;temoin;temoin;temoin;5,3;4,8;4,2;3;4,3;4,2;4,3
BT2;B;temoin;temoin;temoin;3,1;6,3;7,7;6,3;7,5;7,7;6,4
BT3;B;temoin;temoin;temoin;4,1;7,5;6,7;4,2;5,5;6;5,7
CCTAEA1;C;totale;avec;1;2;2,1;1,3;2,1;2,9;2,6;2,2
CCTAEA2;C;totale;avec;2;3,7;0;1,1;0;0;1,8;1,1
CCTAEA3;C;totale;avec;3;0;0,7;0,5;2,4;2,3;0,5;1,1
CCTSEA1;C;totale;sans;1;4,3;4,8;2,2;3,7;2,7;2,1;3,3
CCTSEA2;C;totale;sans;2;0;0;0,5;1;2,5;0;0,7
CCTSEA3;C;totale;sans;3;0;1,2;0,4;1;1,6;2;1
CCPAEA1;C;partielle;avec;1;3,5;3;3;2;3,3;3,5;3,1
CCPAEA2;C;partielle;avec;2;3,5;2;2;2,5;3;2,3;2,6
CCPAEA3;C;partielle;avec;3;1,5;1;2;1,5;2;3,5;1,9
CCPSEA1;C;partielle;sans;1;2;2,4;3;1,6;1;1,4;1,9
CCPSEA2;C;partielle;sans;2;0,5;4;5,8;2,2;1;3;2,8
CCPSEA3;C;partielle;sans;3;0,5;2,5;1;5;3,5;2;2,4
CT1;C;temoin;temoin;temoin;2;3,5;4;3,5;1,7;3;3
CT2;C;temoin;temoin;temoin;4,2;4,8;4,8;5,4;3,7;5,5;4,7
CT3;C;temoin;temoin;temoin;5,8;15,1;10;4;13,9;7,7;9,4
DCTAEA1;D;totale;avec;1;2,7;1,9;3,9;3;1,3;1,8;2,4
DCTAEA2;D;totale;avec;2;3,8;0,9;3,2;2,2;1;0,7;2
DCTAEA3;D;totale;avec;3;2,2;0,7;0;1,2;1,1;4;1,5
DCTSEA1;D;totale;sans;1;6,3;3,6;7,8;0;1,3;0,8;3,3
DCTSEA2;D;totale;sans;2;2,4;0;1,1;1;2,8;2,4;1,6
DCTSEA3;D;totale;sans;3;5,2;10,4;1,3;0,7;2,1;1,3;3,5
DCPAEA1;D;partielle;avec;1;1;2;2;4;4,7;7,5;3,5
DCPAEA2;D;partielle;avec;2;2;2,5;2,3;2;5;3,5;2,9
DCPAEA3;D;partielle;avec;3;4;4;2,5;2,5;3;2,3;3,1
DCPSEA1;D;partielle;sans;1;2,3;2;4;2,4;5,6;3;3,2
DCPSEA2;D;partielle;sans;2;1,5;3;2,4;3,3;1,5;0,5;2
DCPSEA3;D;partielle;sans;3;2,4;2,4;3,5;3,6;3,6;2,4;3
DT1;D;temoin;temoin;temoin;4;6;2,5;2,3;2,6;3,2;3,4
DT2;D;temoin;temoin;temoin;4,5;4,1;3,9;6;6,6;6,1;5,2
DT3;D;temoin;temoin;temoin;5,5;4,5;4,9;3,7;4,9;5,5;4,8